"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"66(1,B9)","RAC-017-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"67(1,C9)","RAC-017-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"68(1,D9)","RAM-018","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"69(1,E9)","RAC-018-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"70(1,F9)","RAC-018-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"71(1,G9)","RAC-018-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"72(1,H9)","RAM-019","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"73(1,A10)","RAC-019-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"74(1,B10)","RAM-021","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"75(1,C10)","RAC-021-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"76(1,D10)","RAC-021-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"77(1,E10)","RAC-021-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"78(1,F10)","HCAM-001","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"79(1,G10)","HCAM-001","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
